"DSM","PSP","Species","aspect","evi_fall","evi_spring","evi_summer","mndwi_fall","mndwi_spring","mndwi_summer","nbr_fall","nbr_spring","nbr_summer","ndvi_fall","ndvi_spring","ndvi_summer","savi_fall","savi_spring","savi_summer","severity_high","severity_low","severity_moderate","severity_unburned","slope","tcb_fall","tcb_spring","tcb_summer","tcg_fall","tcg_spring","tcg_summer","tcw_fall","tcw_spring","tcw_summer","total_fires","vari_fall","vari_spring","vari_summer","Carbon_gm2","tsf_0_10","tsf_10_20","tsf_20_25","pr","tas","dep2_permafrost","FIRE_SIZE","x","y"
492,10011,"quaking aspen",0,0.151681378483772,0.133584767580032,0.285787165164948,-0.193062245845795,0.278585612773895,-0.214623764157295,0.254668235778809,0.410824060440063,0.325844585895538,0.362899005413055,0.126482859253883,0.489433348178864,0.159510865807533,0.0871021598577499,0.269256830215454,1,1,1,1,0.955909622277452,0.267467856407166,0.42973929643631,0.302084505558014,0.041291881352663,0.0010286848992109,0.0859888717532157,-0.110999643802643,-0.0353532023727893,-0.133254036307335,2,0.0398253910243511,0.0297880005091428,-0.0605782456696033,173.578087969152,"False","True","False",20.7766666412354,-4.44166660308838,26,0.3,-2504008.30683727,6482737.50155626
492,10011,"white spruce",0,0.151681378483772,0.133584767580032,0.285787165164948,-0.193062245845795,0.278585612773895,-0.214623764157295,0.254668235778809,0.410824060440063,0.325844585895538,0.362899005413055,0.126482859253883,0.489433348178864,0.159510865807533,0.0871021598577499,0.269256830215454,1,1,1,1,0.955909622277452,0.267467856407166,0.42973929643631,0.302084505558014,0.041291881352663,0.0010286848992109,0.0859888717532157,-0.110999643802643,-0.0353532023727893,-0.133254036307335,2,0.0398253910243511,0.0297880005091428,-0.0605782456696033,282.000013946064,"False","True","False",20.7766666412354,-4.44166660308838,26,0.3,-2504008.30683727,6482737.50155626
497,10012,"black spruce",95.1256411253203,0.168661087751388,0.161448359489441,0.22711318731308,0.190865516662598,0.232856750488281,0.0646611377596855,0.578724265098572,0.518446385860443,0.517368316650391,0.446134269237518,0.201754540205002,0.517544865608215,0.1482754945755,0.125878304243088,0.221343114972115,1,1,1,1,10.5787979909633,0.156667083501816,0.318695724010467,0.209538653492927,0.0410233661532402,0.0254943035542964,0.0660434514284133,-0.0246679671108722,0.0024365969002246,-0.0519833303987979,2,-0.0273519922047853,0.0230690687894821,-0.177750468254089,1.8497207885032,"False","True","False",20.7766666412354,-4.44166660308838,0,0.3,-2504008.30743192,6482737.50244883
497,10012,"quaking aspen",95.1256411253203,0.168661087751388,0.161448359489441,0.22711318731308,0.190865516662598,0.232856750488281,0.0646611377596855,0.578724265098572,0.518446385860443,0.517368316650391,0.446134269237518,0.201754540205002,0.517544865608215,0.1482754945755,0.125878304243088,0.221343114972115,1,1,1,1,10.5787979909633,0.156667083501816,0.318695724010467,0.209538653492927,0.0410233661532402,0.0254943035542964,0.0660434514284133,-0.0246679671108722,0.0024365969002246,-0.0519833303987979,2,-0.0273519922047853,0.0230690687894821,-0.177750468254089,27.8497936898514,"False","True","False",20.7766666412354,-4.44166660308838,0,0.3,-2504008.30743192,6482737.50244883
497,10012,"white spruce",95.1256411253203,0.168661087751388,0.161448359489441,0.22711318731308,0.190865516662598,0.232856750488281,0.0646611377596855,0.578724265098572,0.518446385860443,0.517368316650391,0.446134269237518,0.201754540205002,0.517544865608215,0.1482754945755,0.125878304243088,0.221343114972115,1,1,1,1,10.5787979909633,0.156667083501816,0.318695724010467,0.209538653492927,0.0410233661532402,0.0254943035542964,0.0660434514284133,-0.0246679671108722,0.0024365969002246,-0.0519833303987979,2,-0.0273519922047853,0.0230690687894821,-0.177750468254089,567.383843040501,"False","True","False",20.7766666412354,-4.44166660308838,0,0.3,-2504008.30743192,6482737.50244883
311,10067,"black spruce",194.6801205491,0.342763155698776,0.0987485945224762,0.585818886756897,0.399308562278748,0.516193628311157,0.28812563419342,0.562831103801727,0.55994313955307,0.677322566509247,0.251241743564606,0.0870381370186805,0.659126281738281,0.189619362354279,0.0669367089867591,0.465599626302719,1,1,1,1,8.8239041180092,0.486199706792831,0.531544029712677,0.374358296394348,0.0543989911675453,-0.0026150436606258,0.202161699533462,-0.0095727071166038,0.0676255077123642,-0.0301354862749576,0,-0.0875805243849754,0.0470436811447143,-0.212869733572006,2.6423606946627,"False","False","False",23.7749996185303,-2.72916674613953,18,0.1,-2504012.02240202,6482742.29817905
311,10067,"quaking aspen",194.6801205491,0.342763155698776,0.0987485945224762,0.585818886756897,0.399308562278748,0.516193628311157,0.28812563419342,0.562831103801727,0.55994313955307,0.677322566509247,0.251241743564606,0.0870381370186805,0.659126281738281,0.189619362354279,0.0669367089867591,0.465599626302719,1,1,1,1,8.8239041180092,0.486199706792831,0.531544029712677,0.374358296394348,0.0543989911675453,-0.0026150436606258,0.202161699533462,-0.0095727071166038,0.0676255077123642,-0.0301354862749576,0,-0.0875805243849754,0.0470436811447143,-0.212869733572006,52.2975108167,"False","False","False",23.7749996185303,-2.72916674613953,62,0.1,-2504012.02240202,6482742.29817905
311,10067,"resin birch",194.6801205491,0.342763155698776,0.0987485945224762,0.585818886756897,0.399308562278748,0.516193628311157,0.28812563419342,0.562831103801727,0.55994313955307,0.677322566509247,0.251241743564606,0.0870381370186805,0.659126281738281,0.189619362354279,0.0669367089867591,0.465599626302719,1,1,1,1,8.8239041180092,0.486199706792831,0.531544029712677,0.374358296394348,0.0543989911675453,-0.0026150436606258,0.202161699533462,-0.0095727071166038,0.0676255077123642,-0.0301354862749576,0,-0.0875805243849754,0.0470436811447143,-0.212869733572006,561.426430794311,"False","False","False",23.8133335113525,-2.5774998664856,62,0.1,-2504012.02240202,6482742.29817905
311,10067,"white spruce",194.6801205491,0.342763155698776,0.0987485945224762,0.585818886756897,0.399308562278748,0.516193628311157,0.28812563419342,0.562831103801727,0.55994313955307,0.677322566509247,0.251241743564606,0.0870381370186805,0.659126281738281,0.189619362354279,0.0669367089867591,0.465599626302719,1,1,1,1,8.8239041180092,0.486199706792831,0.531544029712677,0.374358296394348,0.0543989911675453,-0.0026150436606258,0.202161699533462,-0.0095727071166038,0.0676255077123642,-0.0301354862749576,0,-0.0875805243849754,0.0470436811447143,-0.212869733572006,8.8814128872093,"False","False","False",23.8133335113525,-2.5774998664856,62,0.1,-2504012.02240202,6482742.29817905
309,10068,"quaking aspen",163.578956215991,0.327503085136414,0.102875933051109,0.5752934217453,0.462135761976242,0.430351078510284,0.330827057361603,0.606755614280701,0.526896178722382,0.682913780212402,0.241478309035301,0.101834297180176,0.65419203042984,0.181077480316162,0.0712819248437881,0.455378025770187,1,1,1,1,7.92233455363793,0.477004021406174,0.426364183425903,0.36577844619751,0.0510556437075138,-0.000340176397003233,0.18759498000145,0.002654455602169,0.0380627699196338,-0.0236931014806032,0,-0.0875805243849754,0.0496838986873626,-0.208914503455162,113.028022972124,"False","False","False",23.8133335113525,-2.5774998664856,62,0.1,-2504012.02335795,6482742.29832107
