DSM,PSP,Species,aspect,evi_fall,evi_spring,evi_summer,mndwi_fall,mndwi_spring,mndwi_summer,nbr_fall,nbr_spring,nbr_summer,ndvi_fall,ndvi_spring,ndvi_summer,savi_fall,savi_spring,savi_summer,severity_high,severity_low,severity_moderate,severity_unburned,slope,tcb_fall,tcb_spring,tcb_summer,tcg_fall,tcg_spring,tcg_summer,tcw_fall,tcw_spring,tcw_summer,total_fires,vari_fall,vari_spring,vari_summer,Carbon_gm2,x,y,tsf_0_10,tsf_10_20,tsf_20_25,pr,tas,dep2_permafrost
222,10267,resin birch,256.92427977018866,0.1006235182285308,0.093224265,0.4339085221290588,0.090667874,0.7116097807884216,-0.154547542,0.4420272409915924,0.7315979,0.6257374286651611,0.2277540117502212,0.078864433,0.7932986617088318,0.086501621,0.053078648,0.416601688,1,1,1,1,4.217984308301959,0.1585728526115417,0.3866419494152069,0.2157049179077148,0.01941797,-0.011721311,0.1530105024576187,-0.016363591,0.081852794,-0.06518431,0,0.4077704548835754,-0.014296123,-0.353279799,409.66055127781215,-1446629.696,7539458.498999787,FALSE,FALSE,FALSE,21.30666733,-4.733333588,56
222,10267,white spruce,256.92427977018866,0.1006235182285308,0.093224265,0.4339085221290588,0.090667874,0.7116097807884216,-0.154547542,0.4420272409915924,0.7315979,0.6257374286651611,0.2277540117502212,0.078864433,0.7932986617088318,0.086501621,0.053078648,0.416601688,1,1,1,1,4.217984308301959,0.1585728526115417,0.3866419494152069,0.2157049179077148,0.01941797,-0.011721311,0.1530105024576187,-0.016363591,0.081852794,-0.06518431,0,0.4077704548835754,-0.014296123,-0.353279799,64.27211465,-1446629.696,7539458.498999787,FALSE,FALSE,FALSE,21.30666733,-4.733333588,56
41,10277,resin birch,90,0.2196875512599945,0.1566976904869079,0.459541768,-0.058529317,-0.186053529,-0.088621631,0.4451197683811188,0.406415194,0.6355209350585938,0.5657358765602112,0.3534925878047943,0.7823362350463867,0.2291107177734375,0.1619311869144439,0.4377381503582001,1,1,1,1,1.990716315627421,0.1692763268947601,0.2420392036437988,0.2593094110488891,0.070528701,0.04801159,0.1696056723594665,-0.053387351,-0.086054236,-0.069896542,0,-0.15457359,0.075626127,-0.289356172,269.48328144472225,-1484386.625,7421694.337963571,FALSE,FALSE,FALSE,21.30666733,-4.733333588,56
41,10277,white spruce,90,0.2196875512599945,0.1566976904869079,0.459541768,-0.058529317,-0.186053529,-0.088621631,0.4451197683811188,0.406415194,0.6355209350585938,0.5657358765602112,0.3534925878047943,0.7823362350463867,0.2291107177734375,0.1619311869144439,0.4377381503582001,1,1,1,1,1.990716315627421,0.1692763268947601,0.2420392036437988,0.2593094110488891,0.070528701,0.04801159,0.1696056723594665,-0.053387351,-0.086054236,-0.069896542,0,-0.15457359,0.075626127,-0.289356172,61.799405855446125,-1484386.625,7421694.337963571,FALSE,FALSE,FALSE,21.30666733,-4.733333588,56
40,10278,resin birch,0,0.2281093448400497,0.1631021797657013,0.4346731901168823,-0.156025976,-0.100175805,-0.084555134,0.4421979784965515,0.4356376528739929,0.623312771,0.578882098,0.3660263419151306,0.7703025937080383,0.2278881669044494,0.1624923646450042,0.4150988757610321,1,1,1,1,0,0.1603171080350875,0.2361885756254196,0.242380679,0.069726013,0.043952733,0.1545449793338775,-0.047565222,-0.071147963,-0.061100014,0,-0.044190951,0.016458578,-0.267102718,258.0343280415173,-1484369.232,7421642.543922433,FALSE,FALSE,FALSE,21.30666733,-4.733333588,53
40,10278,white spruce,0,0.2281093448400497,0.1631021797657013,0.4346731901168823,-0.156025976,-0.100175805,-0.084555134,0.4421979784965515,0.4356376528739929,0.623312771,0.578882098,0.3660263419151306,0.7703025937080383,0.2278881669044494,0.1624923646450042,0.4150988757610321,1,1,1,1,0,0.1603171080350875,0.2361885756254196,0.242380679,0.069726013,0.043952733,0.1545449793338775,-0.047565222,-0.071147963,-0.061100014,0,-0.044190951,0.016458578,-0.267102718,78.16069913337655,-1484369.232,7421642.543922433,FALSE,FALSE,FALSE,21.30666733,-4.733333588,53
41,10279,resin birch,133.8331967412367,0.2174354195594787,0.1928327530622482,0.4395247101783752,-0.17125982,-0.103191718,-0.056883354,0.4809558391571045,0.4965614676475525,0.6504439115524292,0.5466219186782837,0.4574329257011413,0.7564657926559448,0.2273543626070022,0.1940967440605163,0.419552743,1,1,1,1,2.7586282324066795,0.1679044812917709,0.2381540238857269,0.2467535436153412,0.074682549,0.055565774,0.1597191393375396,-0.048721094,-0.07736364,-0.056603882,0,0.1300045847892761,0.037807006,-0.190296441,421.32272642258937,-1484444.433,7421686.683462052,FALSE,FALSE,FALSE,21.30666733,-4.733333588,53
41,10279,white spruce,133.8331967412367,0.2174354195594787,0.1928327530622482,0.4395247101783752,-0.17125982,-0.103191718,-0.056883354,0.4809558391571045,0.4965614676475525,0.6504439115524292,0.5466219186782837,0.4574329257011413,0.7564657926559448,0.2273543626070022,0.1940967440605163,0.419552743,1,1,1,1,2.7586282324066795,0.1679044812917709,0.2381540238857269,0.2467535436153412,0.074682549,0.055565774,0.1597191393375396,-0.048721094,-0.07736364,-0.056603882,0,0.1300045847892761,0.037807006,-0.190296441,181.4182170708578,-1484444.433,7421686.683462052,FALSE,FALSE,FALSE,21.30666733,-4.733333588,53
606,10280,white spruce,162.27044133642124,0.3216830492019653,0.067473367,0.5837839245796204,-0.172102004,0.666321874,-0.116213553,0.4630998969078064,0.7173558473587036,0.6389830708503723,0.5655299425125122,0.047369443,0.7790012359619141,0.3084653913974762,0.041074146,0.5083835124969482,1,1,1,1,12.82890712100266,0.2639698088169098,0.7263439297676086,0.3187635838985443,0.1108806058764457,-0.027108472,0.2212921977043151,-0.086078376,0.2020460665225982,-0.087306865,0,0.034980699,0.078722775,-0.284587145,296.75141241696264,-1478151.943,7406391.209629258,FALSE,FALSE,FALSE,34.33083344,-2.653333426,53
601,10281,white spruce,169.30190757362794,0.3171441256999969,0.098893024,0.5539010763168335,-0.137145042,0.6966482996940613,-0.140976399,0.4517444968223572,0.7387926578521729,0.636288583,0.5619786977767944,0.056926414,0.7822202444076538,0.2939490675926208,0.051218636,0.4980633854866028,1,1,1,1,10.580075928012748,0.2534513473510742,0.6986045241355896,0.3097863793373108,0.1002474278211593,-0.016723558,0.2075016051530838,-0.072764777,0.1916036903858184,-0.078465424,0,-0.081181601,0.080422975,-0.278124571,292.03152244175664,-1478211.194,7406376.084092775,FALSE,FALSE,FALSE,34.33083344,-2.653333426,53
